Chunk #, JSON Bytes, JSON+DEFLATE_SPEED Bytes, JSON+DEFLATE_SPEED ms, JSON+DEFLATE_DEFAULT Bytes, JSON+DEFLATE_DEFAULT ms, JSON+DEFLATE_MAX Bytes, JSON+DEFLATE_MAX ms, ascii85 Bytes, DEFLATE_SPEED+ascii85 Bytes, DEFLATE_DEFAULT+ascii85 Bytes, DEFLATE_MAX+ascii85 Bytes, ascii85+DEFLATE_SPEED Bytes, ascii85+DEFLATE_DEFAULT Bytes, ascii85+DEFLATE_MAX Bytes, CBOR Bytes, CBOR+DEFLATE_SPEED Bytes, CBOR+DEFLATE_SPEED ms, CBOR+DEFLATE_DEFAULT Bytes, CBOR+DEFLATE_DEFAULT ms, CBOR+DEFLATE_MAX Bytes, CBOR+DEFLATE_MAX ms
160 , 3165654 ,  1459513 , 61 ,  1380392 , 149 ,  1373320 , 246 , 1976309 ,  1619034 ,  1595040 ,  1589484 ,  1401215 ,  1362067 ,  1360463 ,  1582839 ,  1209669 , 47 ,  1190800 , 58 ,  1187321 , 165
161 , 3023658 ,  1430956 , 64 ,  1357203 , 141 ,  1350874 , 237 , 1891379 ,  1596070 ,  1571978 ,  1567293 ,  1366376 ,  1327278 ,  1325783 ,  1511841 ,  1192414 , 49 ,  1173875 , 60 ,  1170390 , 159
162 , 3028770 ,  1441804 , 60 ,  1368257 , 144 ,  1361673 , 247 , 1895146 ,  1610011 ,  1585485 ,  1580308 ,  1373549 ,  1334728 ,  1333098 ,  1514397 ,  1202526 , 46 ,  1183890 , 56 ,  1179995 , 160
163 , 3046390 ,  1445708 , 60 ,  1371936 , 143 ,  1365260 , 245 , 1905057 ,  1614690 ,  1589590 ,  1583953 ,  1381508 ,  1342956 ,  1341366 ,  1523207 ,  1205545 , 46 ,  1187024 , 64 ,  1182901 , 162
164 , 3061188 ,  1447407 , 61 ,  1374027 , 147 ,  1367206 , 241 , 1910569 ,  1613682 ,  1588942 ,  1583352 ,  1381872 ,  1342797 ,  1341272 ,  1530606 ,  1204960 , 46 ,  1187526 , 59 ,  1182933 , 164
165 , 3132414 ,  1452125 , 60 ,  1373378 , 142 ,  1365753 , 253 , 1952430 ,  1608876 ,  1584125 ,  1577908 ,  1398077 ,  1358802 ,  1357219 ,  1566219 ,  1201829 , 46 ,  1183754 , 57 ,  1178403 , 159
166 , 3279218 ,  1500382 , 61 ,  1417698 , 149 ,  1410315 , 270 , 2030778 ,  1660930 ,  1636171 ,  1629469 ,  1442657 ,  1401202 ,  1399349 ,  1639621 ,  1241223 , 47 ,  1222390 , 60 ,  1217207 , 176
167 , 3308532 ,  1538170 , 66 ,  1456001 , 151 ,  1449346 , 270 , 2055570 ,  1702863 ,  1678848 ,  1672110 ,  1471132 ,  1429112 ,  1427210 ,  1654278 ,  1272826 , 51 ,  1253823 , 60 ,  1249024 , 178
168 , 3235714 ,  1519658 , 62 ,  1438921 , 152 ,  1431756 , 265 , 2012841 ,  1688718 ,  1663261 ,  1657568 ,  1448926 ,  1406753 ,  1404983 ,  1617869 ,  1261472 , 47 ,  1242571 , 59 ,  1237822 , 176
169 , 3230528 ,  1514375 , 62 ,  1434556 , 148 ,  1426925 , 263 , 2010844 ,  1683828 ,  1658094 ,  1652170 ,  1448320 ,  1407630 ,  1405975 ,  1615276 ,  1257435 , 48 ,  1238858 , 60 ,  1234124 , 168
170 , 3152054 ,  1491905 , 61 ,  1416035 , 148 ,  1408589 , 263 , 1961662 ,  1663988 ,  1638555 ,  1632234 ,  1421640 ,  1381852 ,  1380188 ,  1576039 ,  1242373 , 47 ,  1223971 , 59 ,  1218779 , 176
171 , 3093778 ,  1463425 , 60 ,  1385718 , 143 ,  1377873 , 258 , 1929305 ,  1627236 ,  1599987 ,  1592311 ,  1398464 ,  1359625 ,  1358116 ,  1546901 ,  1215337 , 47 ,  1195393 , 57 ,  1189590 , 166
172 , 3162564 ,  1492412 , 61 ,  1411885 , 146 ,  1404104 , 270 , 1974442 ,  1656115 ,  1628597 ,  1620660 ,  1422871 ,  1382647 ,  1381039 ,  1581294 ,  1237195 , 49 ,  1216617 , 61 ,  1210523 , 185
173 , 3078874 ,  1463965 , 62 ,  1385031 , 143 ,  1377526 , 264 , 1921995 ,  1629246 ,  1601082 ,  1593027 ,  1387569 ,  1347513 ,  1346033 ,  1539449 ,  1216442 , 48 ,  1196000 , 60 ,  1190039 , 172
174 , 3119780 ,  1485372 , 61 ,  1405452 , 146 ,  1397483 , 279 , 1949305 ,  1653508 ,  1624445 ,  1615963 ,  1406758 ,  1365757 ,  1364182 ,  1559902 ,  1234904 , 49 ,  1213377 , 60 ,  1207580 , 188
175 , 3212002 ,  1516652 , 63 ,  1434054 , 151 ,  1426484 , 281 , 2010037 ,  1686292 ,  1656542 ,  1649550 ,  1440761 ,  1398033 ,  1396076 ,  1606013 ,  1259546 , 49 ,  1237076 , 62 ,  1231645 , 188
176 , 3395360 ,  1597762 , 65 ,  1507567 , 156 ,  1499846 , 290 , 2121533 ,  1772615 ,  1742143 ,  1733199 ,  1519722 ,  1474342 ,  1472748 ,  1697692 ,  1324113 , 50 ,  1301166 , 63 ,  1295199 , 196
177 , 3291164 ,  1540610 , 64 ,  1453012 , 153 ,  1445359 , 294 , 2051017 ,  1709306 ,  1678072 ,  1669219 ,  1460958 ,  1417910 ,  1416320 ,  1645594 ,  1276603 , 49 ,  1253734 , 62 ,  1247219 , 204
178 , 3263902 ,  1537284 , 63 ,  1451296 , 149 ,  1443981 , 295 , 2031358 ,  1704265 ,  1675582 ,  1666899 ,  1462416 ,  1420615 ,  1418941 ,  1631963 ,  1273010 , 49 ,  1250963 , 61 ,  1244823 , 197
179 , 3232398 ,  1521287 , 64 ,  1433704 , 148 ,  1427066 , 302 , 2008965 ,  1688074 ,  1654318 ,  1648790 ,  1436820 ,  1394627 ,  1393048 ,  1616211 ,  1260678 , 48 ,  1236337 , 60 ,  1230758 , 200
180 , 3252578 ,  1525862 , 63 ,  1438914 , 151 ,  1432322 , 295 , 2023765 ,  1691635 ,  1660449 ,  1652964 ,  1445673 ,  1403070 ,  1401451 ,  1626301 ,  1263566 , 49 ,  1240075 , 62 ,  1234572 , 198
181 , 3360472 ,  1585653 , 64 ,  1495206 , 154 ,  1488491 , 300 , 2091889 ,  1756804 ,  1727778 ,  1718247 ,  1508275 ,  1465313 ,  1463669 ,  1680248 ,  1312177 , 49 ,  1289510 , 62 ,  1283498 , 200
182 , 3304354 ,  1559524 , 64 ,  1471446 , 151 ,  1464812 , 297 , 2056191 ,  1731202 ,  1700089 ,  1693003 ,  1482846 ,  1440426 ,  1438695 ,  1652189 ,  1293194 , 49 ,  1270076 , 65 ,  1264456 , 198
183 , 3295440 ,  1563634 , 64 ,  1475824 , 152 ,  1468580 , 301 , 2055896 ,  1736923 ,  1705329 ,  1698091 ,  1481077 ,  1438627 ,  1436946 ,  1647732 ,  1297407 , 49 ,  1273898 , 62 ,  1267882 , 198
184 , 3357938 ,  1597054 , 68 ,  1510197 , 155 ,  1503212 , 302 , 2096146 ,  1776280 ,  1746799 ,  1739246 ,  1516534 ,  1474117 ,  1472561 ,  1678981 ,  1326440 , 52 ,  1304791 , 62 ,  1298776 , 199
